'level1';'level2';'level3';'filter0';'filter1';'filter3';'Data[1]';'Data[2]';'Data[3]';'Data[9]';'Data[4]';'Data[6]';'Data[7]';'Data[8]';'Data[5]'
'ขอนแก่น';'เมืองขอนแก่น';'บึงเนียม';'814170';'794700';'บ้านบึงเนียมบึงใคร่นุ่น';'น้ำท่วมโรงเรียน อาคารเรียน 2 หลัง อาคารอเนกประสงค์ 1 หลัง ส้วม 4 หลัง รั้ว สนาม เสียหาย';'1 หลัง  1 แห่ง';'งานเปลี่ยนประตู  ปูพื้นกระเบื้อง ทาสี  อาคารเรียน อาคารอเนกประสงค์ ส้วม ซ่อมรั้ว ปรับปรุงสนามเด็กเล่น สนามบาสเก็ตบอล';'40010073';'นายอภิชาตินาเลาห์';'043370341';;;
'ขอนแก่น';'เมืองขอนแก่น';'พระลับ';'316263';'308700';'บ้านพระคือหนองโพธิ์วิทยา';'น้ำไหลท่วมสนามกีฬาโรงเรียน ';'1 แห่ง';'ถมดินสนามฟุตบอล สนามวอลเล่ย์บอล สนามตะกร้อ  เปลี่ยนประตูฟุตบอล';'40010078';'นายภิญโญรัศมาวี';'043915049';;'043915049';
'ขอนแก่น';'เมืองขอนแก่น';'หนองตูม';'886910';'865700';'บ้านโคกท่า';'น้ำไหลท่วมอาคารเรียน ส้วม สนามโรงเรียน ';'1 หลัง  1 แห่ง';'งานเปลี่ยนประตู พื้นห้อง ทาสี อาคารเรียนป 1 ฉ และส้วม  ถมดินสนามฟุตบอล 7,200 ตร.ม. เพื่อปรับระดับพื้นที่';'40010118';'นายสำราญ ประโพธิ์ศรี';'043-283528';'043-28347';;
'ขอนแก่น';'ชุมแพ';'นาเพียง';'342798';'334600';'บ้านนาเพียง';'น้ำไหลท่วมโรงเรียน อาคารเรียน ถนน รั้ว โรงอาหาร เสียหาย ';'1 หลัง  1 แห่ง';'งานเปลี่ยนประตูและทาสีอาคารเรียน ป 1 ฉ  เปลี่ยนสุขภัณฑ์และบานประตูห้องส้วมปรับพื้นผิวโรงอาหาร พื้นฟุตบาทรอบอาคารเรียน ซ่อมรั้วคอนกรีต  100 ม.ซ่อมถนนคอนกรีต';'40050088';'นายนิยม  ศรีภูวงค์';'043213600';'019540639';;
'ขอนแก่น';'ภูเวียง';'นาหว้า';'309809';'302400';'บ้านห้วยชัน';'น้ำไหลท่วมอาคารเรียน อาคารอเนกประสงค์ ส้วม ถนนโรงเรียน ';'1 หลัง  1 แห่ง';'งานเปลี่ยนบานประตู หน้าต่าง ทาสี อาคารเรียน สปช.102/26  ปูพื้นกระเบื้องอาคารเรียน ป 1 ฉ ซ่อมพื้นอาคารอเนกประสงค์  ทาสีผนัง เพดาน เปลี่ยนบานประตูห้องน้ำ';'40050218';'นาย????????????';'043260454';;;
'ขอนแก่น';'น้ำพอง';'กุดน้ำใส';'3404414';'3323000';'บ้านกุดกว้างประชาสรรค์';'น้ำไหลท่วมโรงเรียน สนามบาสเกตบอล สนามฟุตบอล สนามวอลเลย์บอล รั้ว โรงเรียน เสียหาย ';'1 แห่ง';'งานถมดินสนามบาสเก็ตบอล วอลเลย์บอลฟุตบอล ซ่อมแซมรั้ว ความยาว 760 ม.';'40040001';'นายกิ่งพงษ์  นครพรหม';'043373450';;;
'ขอนแก่น';'หนองสองห้อง';'สำโรง';'1386149';'1353000';'บ้านเหล่านกชุมวิทยาสรรค์';'น้ำไหลท่วมโรงเรียน อาคารเรียน โรงเรียนฝึกงาน ถนน สนามกีฬา เสียหาย ';'1 หลัง  1 แห่ง';'งานทาสีอาคารเรียน ซ่อมแซมระบบสายไฟฟ้า  อาคารเรียน สปช. 102/26 จำนวน 2 หลัง เปลี่ยนไม้กระดานอาคาร ป 1 ฉ ซ่อมถนน  สนามฟุตบอลและตะกร้อ';'40030165';'นายอมรไกรลาศ';'043260490';;;
'ขอนแก่น';'พล';'หัวทุ่ง';'184410';'180000';'บ้านหนองทุ่มหนองหว้า';'น้ำท่วมร่องระบายน้ำ ภูมิทัศน์โรงเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ ป  1 ฉงานเทพื้นถมดิน  กว้าง 27 ม. ยาว 12 ม. สูง 0.50 ม.จำนวน162ลบ.ม.ปรับปรุงซ่อมแซมภูมิทัศน์ถมดิน  กว้าง 65 ม. ยาว 80 ม. สูง 0.30 ม.จำนวน1560ลบ.ม.';'40030059';'นายทัศนะเศรษบภักดี';'043400570';'043260399';;
'ขอนแก่น';'กิ่งอำเภอโนนศิลา';'โนนแดง';'184410';'180000';'บ้านหนองทุ่มหนองหว้า';'น้ำท่วมร่องระบายน้ำ ภูมิทัศน์โรงเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ ป  1 ฉงานเทพื้นถมดิน  กว้าง 27 ม. ยาว 12 ม. สูง 0.50 ม.จำนวน162ลบ.ม.ปรับปรุงซ่อมแซมภูมิทัศน์ถมดิน  กว้าง 65 ม. ยาว 80 ม. สูง 0.30 ม.จำนวน1560ลบ.ม.';'40030191';'นายนพดลมนตรี';'043212595';'043260399';;
'ขอนแก่น';'เมืองขอนแก่น';'ศิลา';'309809';'302400';'บ้านห้วยชัน';'น้ำไหลท่วมอาคารเรียน อาคารอเนกประสงค์ ส้วม ถนนโรงเรียน ';'1 หลัง  1 แห่ง';'งานเปลี่ยนบานประตู หน้าต่าง ทาสี อาคารเรียน สปช.102/26  ปูพื้นกระเบื้องอาคารเรียน ป 1 ฉ ซ่อมพื้นอาคารอเนกประสงค์  ทาสีผนัง เพดาน เปลี่ยนบานประตูห้องน้ำ';'40010095';'นายศักดิ์ชัย  บุญน้อม';'043260455';;;
'ขอนแก่น';'เมืองขอนแก่น';'เมืองเก่า';'3404414';'3323000';'บ้านกุดกว้างประชาสรรค์';'น้ำไหลท่วมโรงเรียน สนามบาสเกตบอล สนามฟุตบอล สนามวอลเลย์บอล รั้ว โรงเรียน เสียหาย ';'1 แห่ง';'งานถมดินสนามบาสเก็ตบอล วอลเลย์บอลฟุตบอล ซ่อมแซมรั้ว ความยาว 760 ม.';'40010083';'นาย?????????????';'043261145';;'043261145';'Kudkw.ang @ thaimail.com'
'ขอนแก่น';'เมืองขอนแก่น';'บ้านหว้า';'184410';'180000';'บ้านหนองทุ่มหนองหว้า';'น้ำท่วมร่องระบายน้ำ ภูมิทัศน์โรงเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ ป  1 ฉงานเทพื้นถมดิน  กว้าง 27 ม. ยาว 12 ม. สูง 0.50 ม.จำนวน162ลบ.ม.ปรับปรุงซ่อมแซมภูมิทัศน์ถมดิน  กว้าง 65 ม. ยาว 80 ม. สูง 0.30 ม.จำนวน1560ลบ.ม.';'40010065';'นายสงวน  ศรีสมวงษ์';;;;
'ขอนแก่น';'เมืองขอนแก่น';'บึงเนียม';'191582';'187000';'บ้านบึงฉิม';'น้ำท่วมโรงเรียน อาคารเรียน อาคารอเนกประสงค์ ส้วม สนาม เสียหาย ';'1 หลัง  1 แห่ง';'งานเปลี่ยนประตูห้องส้วม ทาสีอาคารเรียนอเนกประสงค์ ส้วม ปรับสภาพพื้นสนาม  ปรับพื้นสนามเด็กเล่น';'40010072';'นายมนันต์สิริภานุวัฒน์';'043370146';'081873207';'043370146';
'ขอนแก่น';'ภูเวียง';'หนองกุงธนสาร';'102450';'100000';'บ้านหันศิลางาม';'น้ำท่วมโรงเรียน ภูมิทัศน์  เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานพื้น ถมดินสูง 40  ซม.    จำนวน  310ลบ.ม.';'40050248';'นายจรูญพรหมดวงดี';'043260563';'089942114';;
'ขอนแก่น';'ชุมแพ';'นาหนองทุ่ม';'184410';'180000';'บ้านวังยาวสามัคคี';'น้ำท่วมอาคารเรียน  เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงอาคารเรียนงานพื้นถมดินสูง 40  ซม.    จำนวน  230ลบ.ม.เทพื้น ค.ส.ล. หนา  10 ซม.          จำนวน100ตร.ม.ปูพื้นกระเบื้องขนาด 12"*12" จำนวน100ตร.ม.';'40050096';'นายจิรสันต์์บัวสาย';'043214126';'018722019';;
'ขอนแก่น';'กิ่งอำเภอซำสูง';'บ้านโนน';'102450';'100000';'บ้านโนนเขวาประชาศึกษา';'น้ำท่วมโรงเรียน ถนน ภูมิทัศน์ เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 4 เมตร ยาว244 ตร.ม.ยาว 61 ม. เสริมเหล็กตะแรง  6 มม.';'40040181';'นายประพฤทธิ์สิงหาบุตร';'043';'450500';;
'ขอนแก่น';'กิ่งอำเภอซำสูง';'บ้านโนน';'102450';'100000';'บ้านโนนข่าวิทยา';'น้ำท่วมถนน ภูมิทัศน์โรงเรียน เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 5 เมตร ยาว245 ตร.ม.ยาว 49 ม. เสริมเหล็กตะแรง  6 มม';'40040181';'นายประพฤทธิ์สิงหาบุตร';'043';'450500';;
'ขอนแก่น';'น้ำพอง';'บัวเงิน';'183386';'179000';'บ้านหนองแวงท่าวัด';'น้ำท่วมอาคารอเนกประสงค์ เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารอเนกประสงค์แบบ  สปช.205/26 งานพื้นงานพื้น- เทพื้นคอนกรีตเสริมเหล็ก รอบอาคาร143ตรม.  หนา 10 ซม. กว้าง 1.5 ม. ยาว 95 ม.งานฝาผนัง- ขูดลอกปูนเดิม95ตรม.- ฉาบปูนใหม่95ตรม.- ทาสีพลาสติกอครีลิค(กึ่งเงา)95ตรม.';'40040029';'บ้านหนองแวง';'043260575';;;
'ขอนแก่น';'เมืองขอนแก่น';'ดอนช้าง';'530179';'517500';'บ้านดอนช้าง(ศรีสุขวิทยาคาร)';'น้ำไหลท่วมโรงเรียน สนามกีฬา รั้ว ส้วม สนามเด็กเล่น เสียหาย ';'1 หลัง  1 แห่ง';'งานถมสนามฟุตบอล กว้าง 60 ม. ยาว 70 ม. ซ่อมรั้ว ยาว 260 ม. เปลี่ยนประตูส้วมปรับถมยกระดับพื้น';'40010009';'นายเพ็ชรัตน์  อ่างยาน';;;;'donchang@thaimill.com.'
'ขอนแก่น';'เมืองขอนแก่น';'ดอนหัน';'1386149';'1353000';'บ้านเหล่านกชุมวิทยาสรรค์';'น้ำไหลท่วมโรงเรียน อาคารเรียน โรงเรียนฝึกงาน ถนน สนามกีฬา เสียหาย ';'1 หลัง  1 แห่ง';'งานทาสีอาคารเรียน ซ่อมแซมระบบสายไฟฟ้า  อาคารเรียน สปช. 102/26 จำนวน 2 หลัง เปลี่ยนไม้กระดานอาคาร ป 1 ฉ ซ่อมถนน  สนามฟุตบอลและตะกร้อ';'40010021';'นาย???????????';'-';'-';'-';
'ขอนแก่น';'เมืองขอนแก่น';'บึงเนียม';'76223';'74400';'พงษ์ภิญโญ 1';'น้ำไหลท่วมโรงเรียน อาคารเรียน ส้วม รั้วเสียหาย ';'1 หลัง  1 แห่ง';'งานทาสีผนังอาคารเรียน 220 ตร.ม.  เปลี่ยน  ประตูห้องส้วม จำนวน  4  ชุด  ซ่อมเสา รั้วคอนกรีต ยาว 3 เมตร ';'40010070';'นายกิ่งพงษ์ นครพรม';;;;'ppy1 @ chaiyo.com'
'ขอนแก่น';'เมืองขอนแก่น';'สำราญ';'342798';'334600';'บ้านนาเพียง';'น้ำไหลท่วมโรงเรียน อาคารเรียน ถนน รั้ว โรงอาหาร เสียหาย ';'1 หลัง  1 แห่ง';'งานเปลี่ยนประตูและทาสีอาคารเรียน ป 1 ฉ  เปลี่ยนสุขภัณฑ์และบานประตูห้องส้วมปรับพื้นผิวโรงอาหาร พื้นฟุตบาทรอบอาคารเรียน ซ่อมรั้วคอนกรีต  100 ม.ซ่อมถนนคอนกรีต';'40010110';'นายตระกูล วงศ์พลตรี';;;;
'ขอนแก่น';'เมืองขอนแก่น';'ศิลา';'78784';'76900';'บ้านดงพอง';'น้ำไหลท่วมโรงเรียน อาคารเรียน ส้วม อาคารอเนกประสงค์ เสียหาย ';'1 หลัง';'งานเปลี่ยนประตูและทาสีอาคารเรียน สปช. 102/26 สปช.105/29 ส้วม และทาสีอาคารอเนกประสงค์';'40010076';'นายไชยยศโคสุวรรณ';'043260206';;;
